artist_name,artist_id
artist_name,artist_id
artist_name,artist_id
张惠妹,10559
Fine乐团,1160085
万晓利,5345
赵雷,6731
王三溥,3669
吴莫愁,166009
洪启,3069
李霄云,8614
孙楠,4941
老狼,3682
陈楚生,2124
陶喆,5196
蔡健雅,7214
黄小琥,7896
胡海泉,3442
杨宗纬,6066
薛之谦,5781
花粥,8103
G.E.M.邓紫棋,7763
Alan Walker,1045123
林宥嘉,3685
王贰浪,14312549
陈粒,1007170
李荣浩,4292
华晨宇,861777
王以太,12236125
The Chainsmokers,893484
马雨阳,826336
徐秉龙,1197168
毛不易,12138269
房东的猫,1050282
艾热,1203045
许嵩,5771
王力宏,5346
田馥甄,9548
双笙,12025552
任然,9255
张紫豪,13906123
木小雅,12037229
金玟岐,893259
李佳隆,12079219
Ed Sheeran,33184
王大毛,13128032
沈以诚,12002248
Olly Murs,41034
BTS (防弹少年团),783124
满舒克,188141
徐梦圆,1142042
马良,13609637
胡彦斌,3066
徐佳莹,9940
Higher Brothers,12002201
Troye Sivan,45129
买辣椒也用券,12085562
阿涵,12292708
谢春花,1039895
汪苏泷,5538
张杰,6472
Maroon 5,96266
周柏豪,6479
artist_name,artist_id,homepage_id
artist_name,artist_id,homepage_id
artist_name,artist_id,artist_homepage
artist_name,artist_id,artist_homepage
薛之谦,5781,97137413
林宥嘉,3685,1390681736
李荣浩,4292,6228671
华晨宇,861777,43745724
王以太,12236125,122596992
马雨阳,826336,2795792
徐秉龙,1197168,122690538
毛不易,12138269,1461695826
艾热,1203045,57784700
许嵩,5771,31265745
王力宏,5346,52641121
张紫豪,13906123,258703030
赵雷,6731,93504818
李佳隆,12079219,307312386
沈以诚,12002248,5700063
满舒克,188141,1564510
徐梦圆,1142042,91075512
马良,13609637,574887172
胡彦斌,3066,50485130
汪苏泷,5538,18378979
张杰,6472,3492944
周柏豪,6479,273342817
杨宗纬,6066,818067
Lil Ghost小鬼,12493781,295088806
Jony J,784257,1778158
朴树,4721,482998763
张震岳,6453,5158334
李志,3681,9753203
陈硕子,12079044,40263400
陈鸿宇,1058228,46907088
宋冬野,5073,12063363
郭顶,2843,349660440
ICE,13145283,1354452676
白小白,12356407,76484531
那吾克热LIL-EM,12514278,76050757
G.G(张思源),12050057,280519903
伦桑,981141,352548501
李袁杰,12420149,373666959
Tizzy T,1204010,125606117
董又霖,12054456,397065104
萧忆情Alex,1132127,278418244
陶喆,5196,1104594
孟凡明,12270575,59026970
潘玮柏,4723,538911628
$唐老师,12782871,328230796
Wya乌鸦,13527275,52460340
金志文,166014,2117732
邓伦,12440042,489035769
情词尧,14857181,511597171
周兴哲,980025,1424570743
张信哲,6454,517640649
Ayo97,12287118,326389681
简弘亦,5001,95076
蔡徐坤,12932368,120121152
功夫胖KungFuPen,12453329,122118059
暗杠,1198010,87518335
赵紫骅,1038040,106739673
方大同,2738,77799052
杨坤,6068,367551307
朱星杰,12120150,250924208
周传雄,6652,44653565
永彬Ryan.B,12448205,282580185
钱正昊,12118230,516143274
焦迈奇,12084229,256233487
广东雨神,12760978,602521048
河图,3249,102528951
李健,3695,2651022
西瓜JUN,1115075,86946644
张雪飞,12138252,320958360
Pianoboy高至豪,4726,96711325
刘昊霖,4171,179329
DP龙猪,12333145,290935979
小峰峰,790044,348308268
